50 COMBINAÇÕES SUPER SETE - LotoScope
Gerado com lambda blend (60% hist + 40% recente)
Formato: colunas N1 a N7 (digitos 0-9)

Jogo  1: 7  3  4  0  1  7  5
Jogo  2: 9  7  2  9  0  2  6
Jogo  3: 0  1  5  9  1  6  1
Jogo  4: 6  3  0  5  6  3  8
Jogo  5: 3  7  8  1  7  0  6
Jogo  6: 0  5  2  8  7  6  7
Jogo  7: 3  3  4  9  7  2  4
Jogo  8: 0  7  0  3  7  6  2
Jogo  9: 9  2  4  0  8  6  5
Jogo 10: 3  9  0  4  0  4  2
Jogo 11: 6  8  0  3  0  7  4
Jogo 12: 6  5  6  7  4  0  3
Jogo 13: 6  0  2  0  7  3  0
Jogo 14: 8  3  8  1  2  4  7
Jogo 15: 6  0  2  5  5  0  7
Jogo 16: 0  3  0  3  5  9  9
Jogo 17: 4  7  4  2  2  4  4
Jogo 18: 7  0  4  5  8  5  5
Jogo 19: 7  6  1  4  6  1  7
Jogo 20: 9  7  1  3  4  3  4
Jogo 21: 7  0  4  8  9  5  7
Jogo 22: 9  7  6  6  4  0  5
Jogo 23: 3  2  4  8  1  4  6
Jogo 24: 3  8  7  4  5  1  5
Jogo 25: 7  2  2  9  9  3  3
Jogo 26: 7  7  5  0  3  1  3
Jogo 27: 1  8  1  1  7  3  1
Jogo 28: 6  7  1  1  9  0  0
Jogo 29: 6  1  0  9  2  4  2
Jogo 30: 0  6  1  0  7  3  3
Jogo 31: 5  1  5  9  9  1  8
Jogo 32: 5  4  5  8  1  1  5
Jogo 33: 2  0  6  5  8  3  7
Jogo 34: 2  5  6  1  3  9  8
Jogo 35: 1  6  1  6  8  6  2
Jogo 36: 4  4  1  3  3  9  8
Jogo 37: 0  2  3  2  7  0  7
Jogo 38: 9  5  3  2  2  4  6
Jogo 39: 5  8  7  3  7  1  0
Jogo 40: 3  8  5  3  4  3  2
Jogo 41: 8  1  4  2  8  2  0
Jogo 42: 4  6  3  1  9  7  8
Jogo 43: 5  4  7  6  0  5  2
Jogo 44: 3  2  4  8  4  7  3
Jogo 45: 2  8  4  1  9  5  9
Jogo 46: 8  4  1  4  0  5  7
Jogo 47: 3  7  4  2  3  4  3
Jogo 48: 9  5  7  5  1  4  0
Jogo 49: 0  5  3  6  9  2  1
Jogo 50: 6  6  1  0  8  6  2
